id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
2,2026-02-16,2408,35,11,12,,"12,22",27.54432
10,2026-01-24,2281,69,13,3,791.38,"67,44",20710.0
26,2025-07-29,2295,71,11,4,614.46,"149,78",36670.97
31,2025-08-07,1847,45,4,2,,"229,13",117.30988
45,2025-12-11,2278,66,3,11,1539.37, 240.41 ,114732.26
48,2025-07-16,259,29,14,1,, 46.88 ,55688.51
49,2025-08-11,1122,2,14,4,337.32, 69.59 ,47210.14
50,2025-02-22,717,49,15,10,518.78,"86,45",66.87199
66,2025-03-04,1352,21,12,6,776.33, 147.21 ,112829.12
73,2025-03-01,841,26,7,12,,-,33023.9
74,2025-01-04,2814,64,5,7,1809.88, 358.53 ,279782.46
82,2025-07-18,2392,21,3,4,0.0,83.63,33866.99
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
104,2025-10-20,3524,7,11,8,149.44,10.64,17925.05
140,2025-02-17,1227,48,8,5,1.43554, 163.56 ,44225.55
146,2025-12-23,2899,27,9,2,,-,143545.57
154,2025-04-12,1023,24,4,5,,-,73105.67
159,2025-09-04,1637,5,2,5,748.78,"82,65",84100.56
164,2026-01-16,851,50,13,9,501.92,"62,00",81059.4
166,2025-05-09,2302,35,4,12,1.92436,409.10,50.2387
185,2026-01-04,1468,27,7,12,1.85209, 243.81 ,347316.23
190,2025-12-07,2854,70,13,4,953.96,-,93.78736
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
200,2026-02-12,239,79,11,1,1218.97,181.78,225.90231
204,2025-11-27,2424,50,5,7,1.61432,388.18,80347.81
215,2025-02-26,483,71,7,1,,104.78,58056.65
221,2025-03-15,2725,80,11,1,61619.0, 75.06 ,115464.32
230,2025-12-19,1245,6,13,3,238.5,,44718.94
237,2025-02-11,1137,37,6,3,,268.64,106698.49
277,2025-06-04,2165,16,13,12,11344.0, 11.06 ,22028.53
280,2025-06-22,1387,76,1,4,154.59, 23.60 ,19097.08
285,2025-07-06,2457,37,9,5,1.15992, 229.02 ,119625.01
288,2025-07-06,1378,72,4,5,738.72,128.90,59.48036
293,2025-10-28,175,24,15,1,,,158.8074
306,2025-07-06,619,17,10,2,,"129,63",196786.22
322,2025-08-19,454,75,11,3,850.81,,166822.37
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
336,2025-11-26,1444,54,3,10,55034.0,"49,47",20954.52
338,2025-06-28,1141,75,3,2,1845.6,92.80,319554.79
356,2025-10-31,729,63,14,7,1517.29,-,224140.06
360,2025-04-12,3666,59,7,9,86149.0,,36.65144
372,2026-01-02,2269,59,8,7,,-,84920.53
388,2025-12-01,1001,47,14,4,,,87.87006
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
422,2025-08-07,181,4,8,5,1880.35, 131.37 ,131.69852
429,2026-01-04,1774,50,7,5,987.28,"127,17",119.64351
431,2025-03-27,21,56,2,11,1414.67,"173,10",38629.85
435,2025-12-31,365,31,6,6,1.93931,,357.79518
438,2025-08-11,1972,73,12,10,-1778.57,,295736.23
441,2026-01-10,539,50,3,6,0.0,81.86,99.56779
443,2025-10-17,2491,60,1,3,566.75,28.78,105.99194
445,2025-04-26,1383,42,5,9,1857.17,-,350577.41
461,2025-08-09,1607,49,10,5,1391.27,"131,33",260544.91
467,2025-10-24,781,35,8,7,,251.38,162310.51
483,2025-10-18,1785,66,9,7,1906.65,"335,86",68.87139
487,2025-06-15,777,20,1,10,1838.94,325.90,250058.9
488,2025-03-29,2538,78,15,4,469.17,-,68548.42
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
511,2025-03-31,2545,36,10,11,,380.95,121142.67
514,2026-01-18,687,3,5,1,1046.69,81.80,95894.63
515,2025-03-15,2136,23,11,7,1808.77, 450.96 ,326950.13
526,2026-02-08,284,65,10,8,1536.08, 260.86 ,126568.35
549,2025-03-01,2373,37,2,3,1292.38, 72.55 ,114912.08
556,2025-09-23,2075,41,5,7,910.0,-,56.16762
557,2025-02-23,863,14,10,9,67002.0,110.59,73.43818
560,2026-01-08,2145,74,6,2,0.0,"369,91",304.33391
566,2025-02-18,2845,40,6,4,932.58,"189,41",78318.01
568,2025-06-13,1884,55,5,12,,-,119021.19
577,2025-08-07,2064,75,12,7,1.32578, 90.78 ,61.7769
596,2025-01-04,2287,14,9,1,42627.0,65.37,24.69257
599,2025-04-28,2512,29,1,4,1.91482,387.89,161651.62
605,2025-10-03,1360,57,9,12,868.18,,34612.39
606,2025-09-09,2303,80,11,9,1.04234,242.20,51.73017
610,2026-01-19,1252,20,8,4,1498.15,152.40,188713.37
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
628,2025-09-07,2464,32,1,12,77.7,,6.0803
635,2025-04-26,95,61,3,5,1.79202,"440,47",214083.88
637,2025-12-12,2618,61,9,9,738.1,"1,128.07",82512.43
638,2025-08-12,2820,21,3,4,85792.0,"83,38",141656.39
642,2025-06-01,7,71,4,9,53813.0,623.94,92726.9
646,2025-05-07,1510,65,13,10,65659.0,131.69,19747.59
666,2025-04-10,1930,34,7,1,355.38,,55585.71
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21, 243.95 ,179745.23
675,2025-01-05,1309,1,5,8,304.6, 40.62 ,40321.87
679,2025-04-24,2080,36,9,8,916.53,"116,12",152.75589
683,2025-10-20,1622,21,9,3,, 109.08 ,136490.3
689,2025-01-18,1858,4,6,2,1605.13,,150198.88
693,2025-02-21,13,41,12,11,,-,246608.56
698,2025-11-29,1427,65,1,11,489.27, 88.60 ,28382.47
700,2026-01-30,167,5,5,6,0.0, 107.12 ,68413.82
701,2025-06-11,428,39,1,11,, 84.26 ,115735.43
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,"34,06",34994.41
728,2026-01-18,1904,5,10,10,,"13,65",15552.96
733,2025-04-26,1495,77,6,2,970.09, 132.36 ,82527.5
740,2025-12-07,2140,12,8,3,107.75,"10,65",8.32069
752,2026-01-12,2688,7,7,9,1608.17,109.04,67692.48
755,2025-12-13,1268,20,1,10,54263.0,30.90,68.86265
764,2025-07-02,1319,65,9,3,1715.41,,204680.23
773,2025-02-13,1516,42,7,8,1605.25,170.35,195063.2
781,2025-11-20,521,35,12,11,1377.36,"280,27",258.99433
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
785,2025-08-10,1742,52,13,1,1399.54,92.82,58344.65
801,2025-07-25,649,46,1,6,737.38, 60.16 ,73614.54
803,2025-09-17,1998,62,5,8,1587.48,"2.167,83",207934.12
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
836,2025-10-25,2473,28,4,3,972.0,,44879.05
843,2026-01-13,657,60,6,8,1480.7,-,283443.68
851,2025-12-26,867,57,9,3,,329.94,148.25067
857,2025-02-23,933,67,3,8,, 341.26 ,174243.88
860,2025-07-19,2608,5,10,7,19716.0,"33,71",5.23001
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
893,2025-06-14,835,38,3,9,1213.0,291.35,179.13764
896,2025-02-05,610,20,10,9,477.03,"72,81",74022.02
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
906,2025-04-12,343,47,2,12,1.58343, 353.06 ,57993.95
922,2025-12-18,2381,50,10,5,, 17.92 ,9698.68
937,2025-07-18,3692,21,1,2,,208.41,190013.26
955,2025-04-03,1676,30,3,12,977.94,"81,64",66113.44
961,2025-05-18,916,71,4,1,,"46,69",25151.14
966,2025-12-04,2375,24,6,12,1.03251,103.06,193961.45
973,2026-02-13,1852,59,7,1,, 348.13 ,76.61096
979,2025-07-12,1306,105,14,2,79.6,,13816.88
987,2025-11-04,2649,38,5,4,,121.04,93379.15
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,"117,66",34820.96
1003,2025-02-17,2670,23,8,8,1.63764,320.40,280930.95
1008,2025-04-03,1405,56,3,9,-1.35329, 182.11 ,209.25939
1014,2025-09-16,1236,78,8,6,79990.0,95.20,149053.6
1015,2025-01-16,2369,45,2,9,1.03394, 124.79 ,103482.49
1016,2026-01-07,2088,32,10,8,1.06094, 55.62 ,184294.87
1028,2026-01-29,2004,78,2,1,1645.76,"332,76",245058.91
1030,2025-07-21,1920,45,6,5,921.01,"83,32",135943.27
1032,2026-02-05,1058,71,15,11,1978.63,"104,08",356.20251
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1043,2025-03-13,1601,68,4,12,,,82.20205
1044,2025-05-16,2156,20,7,3,904.25, 209.02 ,54421.46
1052,2025-11-05,19,76,2,11,,"1,364.41",113911.76
1058,2025-03-27,2845,77,5,3,,,107.0141
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1072,2025-04-25,185,7,1,3,71964.0,,97.4345
1091,2025-06-05,1032,59,15,6,101.14, 14.26 ,7.75081
1099,2025-08-29,2966,21,7,2,1005.27, 237.75 ,161375.41
1102,2025-06-03,305,22,5,6,1852.66,-,366312.75
1122,2025-08-12,2946,5,12,10,,149.31,68340.14
1156,2025-01-31,1585,9,5,7,107.49,"15,96",7081.97
1162,2025-08-17,256,35,14,4,1047.31,"121,73",157.1855
1171,2025-04-03,272,72,2,10,699.83,97.22,112528.33
1178,2025-10-05,3761,8,10,10,1488.83,-,65791.73
1181,2025-01-01,1466,64,5,4,412.24,,16238.21
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1187,2025-06-20,2616,58,13,11,, 205.89 ,65864.39
1195,2026-01-20,2882,5,10,7,1.51144,,67099.49
1197,2025-04-24,2247,25,7,9,649.49,"70,59",48913.59
1205,2025-08-07,218,40,10,8,829.03,"196,49",87169.07
1214,2025-10-03,2147,10,7,2,1.07586,"212,98",160338.16
1217,2025-01-11,292,63,4,2,1.56364, 160.18 ,73871.74
1263,2025-02-15,1057,17,6,11,,262.93,137484.22
1264,2025-04-18,609,80,10,7,998.07,,167810.75
1276,2026-02-10,218,72,3,5,223.93,13.04,21.49796
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1290,2025-10-15,726,80,6,7,1.87663,"243,12",59128.32
1320,2026-02-13,1198,41,3,6,,71.09,48.79133
1340,2026-01-20,1374,22,13,3,623.78,,90183.07
1347,2026-02-03,2439,34,6,2,,62.54,33350.95
1350,2025-05-28,291,8,4,7,,157.91,22816.56
1351,2025-02-16,1869,10,14,4,1775.07,,338913.02
