id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,82953.0,,139253.11,fecha_formato_invalido
3,,540,42,4,9,1611.53,"92,05",173298.36,fecha_formato_invalido
4,,2821,40,10,5,1866.62, 456.99 ,244461.27,fecha_formato_invalido
5,,945,23,9,11,,"324,08",123407.75,fecha_formato_invalido
6,,1295,17,1,1,943.49,,71968.43,fecha_formato_invalido
7,,1254,25,11,4,1400.82,188.40,258202.93,fecha_formato_invalido
8,,887,77,3,8,1670.56,258.75,,"monto_asegurado_error,fecha_formato_invalido"
9,,1670,66,8,12,,"131,85",125804.84,fecha_formato_invalido
11,,2590,25,8,4,,-,,"monto_asegurado_error,fecha_formato_invalido"
12,,1521,14,11,5,726.02,-,86216.65,fecha_formato_invalido
13,,1527,9,14,9,708.37,"105,04",27042.54,fecha_formato_invalido
14,,367,65,1,11,0.0,122.12,249504.31,fecha_formato_invalido
15,,1954,62,13,4,8594.0,,7574.33,fecha_formato_invalido
16,,424,19,5,11,,39.07,,"monto_asegurado_error,fecha_formato_invalido"
17,,856,73,14,8,832.85,,94675.98,fecha_formato_invalido
18,,123,75,2,5,, 39.57 ,36.56717,fecha_formato_invalido
19,,1693,50,3,9,1257.43,237.20,106454.95,fecha_formato_invalido
20,,522,32,1,3,487.69,"117,43",,"monto_asegurado_error,fecha_formato_invalido"
21,,179,34,2,9,1709.14,"1,963.14",,"monto_asegurado_error,fecha_formato_invalido"
22,,2160,71,5,5,,"172,42",124.75766,fecha_formato_invalido
23,,61,19,3,5,1.40346,"112,05",163649.61,fecha_formato_invalido
24,,302,15,15,9,,8.98,15865.44,fecha_formato_invalido
25,,101,34,8,2,,"286,75",269942.16,fecha_formato_invalido
27,,352,30,3,6,-1290.55, 179.37 ,162227.75,fecha_formato_invalido
28,,1213,65,8,9,464.73,"25,26",18041.73,fecha_formato_invalido
29,,1101,7,8,12,,54.06,,"monto_asegurado_error,fecha_formato_invalido"
30,,2493,14,12,4,816.71,199.22,106724.98,fecha_formato_invalido
32,2025-07-28,388,22,6,4,822.52,-,,monto_asegurado_error
33,,1034,67,2,8,73.63, 13.25 ,6844.04,fecha_formato_invalido
34,,1969,41,10,5,, 256.53 ,202107.44,fecha_formato_invalido
35,,1139,79,1,3,1847.73,191.44,,"monto_asegurado_error,fecha_formato_invalido"
36,,2313,53,12,6,779.35,64.18,95.20418,fecha_formato_invalido
37,,2846,75,10,3,800.22,104.70,66127.82,fecha_formato_invalido
38,,2327,39,13,7,,"113,68",156124.02,fecha_formato_invalido
39,,629,62,11,7,, 206.36 ,75584.63,fecha_formato_invalido
40,,25,47,6,9,1300.11, 189.22 ,,"monto_asegurado_error,fecha_formato_invalido"
41,,3651,48,13,5,81663.0, 106.27 ,136809.9,fecha_formato_invalido
42,,2455,31,5,11,30802.0,"58,25",60616.48,fecha_formato_invalido
43,,2657,8,6,1,-1261.22,"106,86",248818.74,fecha_formato_invalido
44,,1701,10,14,10,946.36,153.66,153121.65,fecha_formato_invalido
46,,2761,28,2,1,56421.0,"57,82",23965.61,fecha_formato_invalido
47,,2482,18,3,2,1.5556,242.77,69252.65,fecha_formato_invalido
51,,2801,67,5,4,1.6128,321.59,156855.81,fecha_formato_invalido
52,,1746,33,1,10,1429.69,78.50,173202.87,fecha_formato_invalido
53,,1962,79,1,3,0.0,305.78,265915.68,fecha_formato_invalido
54,,2969,3,4,3,421.01,63.89,13911.37,fecha_formato_invalido
55,,2340,26,10,6,1954.65,431.08,150219.71,fecha_formato_invalido
56,,2767,28,7,8,7311.0,,7064.28,fecha_formato_invalido
57,,852,4,13,1,,,213051.32,fecha_formato_invalido
58,,454,6,15,8,,213.26,78055.76,fecha_formato_invalido
59,,1934,18,1,2,1253.51,-,149260.92,fecha_formato_invalido
60,,3686,51,6,2,,,28102.81,fecha_formato_invalido
61,,1759,23,4,12,142.93,13.14,3.13479,fecha_formato_invalido
62,,584,36,4,8,695.24, 63.23 ,28262.23,fecha_formato_invalido
63,,3691,55,10,7,-1680.49,242.41,238110.36,fecha_formato_invalido
64,,1081,75,8,1,10972.0,17.48,,"monto_asegurado_error,fecha_formato_invalido"
65,,697,67,1,10,302.71,462.20,25597.06,fecha_formato_invalido
67,,1246,31,6,5,,359.79,258570.08,fecha_formato_invalido
68,,475,43,13,3,1643.29,187.12,235726.94,fecha_formato_invalido
69,,2178,76,1,4,,20.56,7.50594,fecha_formato_invalido
70,,730,78,15,4,, 146.22 ,147.93173,fecha_formato_invalido
71,,3656,77,10,2,258.6,"22,67",26.08196,fecha_formato_invalido
72,,2797,14,2,7,5110.0,8.38,9228.48,fecha_formato_invalido
75,,1345,51,15,1,,-,,"monto_asegurado_error,fecha_formato_invalido"
76,,2671,14,9,5,1563.09, 381.13 ,,"monto_asegurado_error,fecha_formato_invalido"
77,,2386,79,14,12,1324.27, 144.93 ,92440.33,fecha_formato_invalido
78,,698,55,3,7,1298.49,"305,47",92537.75,fecha_formato_invalido
79,,2375,66,4,10,1.05566,,142122.95,fecha_formato_invalido
80,,914,64,6,7,1348.69,282.52,44463.35,fecha_formato_invalido
81,,2745,13,13,11,1688.38,-,151662.62,fecha_formato_invalido
83,,357,18,15,11,1612.27,"182,21",,"monto_asegurado_error,fecha_formato_invalido"
84,,772,18,3,4,57228.0, 84.39 ,41526.61,fecha_formato_invalido
85,,151,6,7,2,967.01,62.59,92114.86,fecha_formato_invalido
86,,3714,32,15,11,1214.28,293.02,56519.26,fecha_formato_invalido
87,,2217,98,11,12,1.28302,,94028.85,fecha_formato_invalido
88,,1671,28,12,6,885.97, 132.85 ,95429.55,fecha_formato_invalido
89,,2963,77,1,5,1372.83,,34680.04,fecha_formato_invalido
90,,753,20,1,10,916.04,219.65,129872.69,fecha_formato_invalido
91,,2778,14,3,1,158.84,26.50,9146.22,fecha_formato_invalido
92,,2659,25,11,4,,325.08,191582.82,fecha_formato_invalido
93,,919,4,8,2,36125.0,84.51,9964.1,fecha_formato_invalido
94,,222,41,5,10,1141.34,169.15,,"monto_asegurado_error,fecha_formato_invalido"
95,,106,11,3,7,1953.28, 313.86 ,356037.27,fecha_formato_invalido
96,,1708,3,11,7,1777.93,,176.35808,fecha_formato_invalido
97,,2027,71,15,9,558.7,77.27,92679.07,fecha_formato_invalido
98,,2106,65,10,8,1909.32,153.95,143459.97,fecha_formato_invalido
100,,2627,52,7,5,1.99894,487.51,,"monto_asegurado_error,fecha_formato_invalido"
101,,976,48,11,11,,125.52,93713.3,fecha_formato_invalido
102,,5,66,13,12,1386.05,"204,00",251864.93,fecha_formato_invalido
103,,927,29,7,9,1179.01,231.56,150298.39,fecha_formato_invalido
105,,2797,80,3,1,20972.0,52.00,,"monto_asegurado_error,fecha_formato_invalido"
106,,2438,58,12,5,546.09,"110,32",44986.21,fecha_formato_invalido
107,,1165,15,6,12,, 50.04 ,87472.59,fecha_formato_invalido
108,,1620,74,13,11,1235.45, 155.50 ,50.33002,fecha_formato_invalido
109,,2693,6,13,6,,184.48,96.33145,fecha_formato_invalido
110,,185,46,8,5,,31.43,74435.27,fecha_formato_invalido
111,,2833,8,15,12,,222.80,185637.48,fecha_formato_invalido
112,,1463,74,7,2,1025.16,94.24,171583.25,fecha_formato_invalido
113,2025-12-03,1715,34,3,6,,,,monto_asegurado_error
114,,1155,61,11,5,1237.26,,124263.17,fecha_formato_invalido
115,,739,11,5,7,203.12, 17.60 ,,"monto_asegurado_error,fecha_formato_invalido"
116,,2659,80,8,10,1986.64,"307,82",376125.57,fecha_formato_invalido
117,,2501,18,12,10,,"2.636,59",188099.37,fecha_formato_invalido
118,,2114,78,1,2,348.72,36.88,68328.79,fecha_formato_invalido
119,,1678,71,13,7,,,58.62884,fecha_formato_invalido
120,,419,49,1,3,1427.78,,265973.38,fecha_formato_invalido
121,,1222,59,14,6,,,141963.43,fecha_formato_invalido
122,2025-08-02,318,41,12,5,726.1,161.45,,monto_asegurado_error
123,2025-09-25,721,44,3,2,1.87938, 437.85 ,,monto_asegurado_error
124,,2155,40,3,9,1027.93,83.53,,"monto_asegurado_error,fecha_formato_invalido"
125,,1886,12,13,12,1521.54, 127.08 ,234686.27,fecha_formato_invalido
126,,1595,18,7,9,, 291.84 ,,"monto_asegurado_error,fecha_formato_invalido"
127,,1793,11,12,1,843.06,154.42,51.393,fecha_formato_invalido
128,,711,25,11,3,,379.89,175091.88,fecha_formato_invalido
129,,1894,29,12,11,1354.93,102.04,161.41979,fecha_formato_invalido
130,,1384,38,15,7,1.06635,208.25,155755.8,fecha_formato_invalido
131,,1953,72,9,2,751.39,,101.26763,fecha_formato_invalido
132,2025-05-23,2110,34,12,11,89091.0,"177,49",,monto_asegurado_error
133,,1793,4,1,11,1705.58,"389,27",107532.29,fecha_formato_invalido
134,,1690,4,11,9,1209.55,,42728.3,fecha_formato_invalido
135,,1540,19,9,4,533.11,"71,90",70594.31,fecha_formato_invalido
136,,1873,36,14,4,685.85,"97,17",,"monto_asegurado_error,fecha_formato_invalido"
137,,2544,48,8,12,1837.21,"337,23",134.56961,fecha_formato_invalido
138,,984,50,3,10,,95.54,58.32088,fecha_formato_invalido
139,,2715,47,3,1,1887.69,-,300624.49,fecha_formato_invalido
141,,2101,71,3,5,1.90459,167.05,287937.3,fecha_formato_invalido
142,,821,56,4,5,1.30577,272.72,31.29847,fecha_formato_invalido
143,,2342,41,10,10,16920.0,"9,37",31558.02,fecha_formato_invalido
144,,354,71,15,10,219.57,53.42,8891.18,fecha_formato_invalido
145,,2461,80,7,12,393.01,55.94,,"monto_asegurado_error,fecha_formato_invalido"
147,,1556,53,5,6,35768.0, 26.25 ,,"monto_asegurado_error,fecha_formato_invalido"
148,,848,13,8,3,505.33,68.83,88566.14,fecha_formato_invalido
149,,892,71,15,10,229.87,16.79,25541.31,fecha_formato_invalido
150,,1080,76,6,7,104.24,"15,49",6890.09,fecha_formato_invalido
151,,927,10,14,7,1.52401, 139.89 ,138665.57,fecha_formato_invalido
152,,2349,79,7,4,0.0,,17302.97,fecha_formato_invalido
153,,1016,28,12,8,16557.0,24.61,,"monto_asegurado_error,fecha_formato_invalido"
155,,1918,43,10,12,,"9,96",3.22228,fecha_formato_invalido
156,,462,28,10,2,1793.62,-,288252.92,fecha_formato_invalido
157,,2910,63,4,7,1.76217,,96305.3,fecha_formato_invalido
158,,1121,67,7,12,98524.0,189.50,,"monto_asegurado_error,fecha_formato_invalido"
160,,1554,9,2,7,1101.08,81.10,82.85058,fecha_formato_invalido
161,,1392,35,7,6,1824.05, 155.21 ,167233.6,fecha_formato_invalido
162,,1094,4,4,5,1760.71,326.32,235475.6,fecha_formato_invalido
163,,354,12,10,7,1304.88,101.17,142724.83,fecha_formato_invalido
165,,2934,78,10,2,842.46,"196,92",,"monto_asegurado_error,fecha_formato_invalido"
167,,743,77,6,5,605.91,121.04,58769.89,fecha_formato_invalido
168,,691,65,1,1,26888.0, 65.44 ,,"monto_asegurado_error,fecha_formato_invalido"
169,,1166,41,10,3,, 93.67 ,84578.57,fecha_formato_invalido
170,,2800,6,1,2,917.66,131.25,177908.61,fecha_formato_invalido
171,,2320,39,9,5,225.23,,16197.54,fecha_formato_invalido
172,,693,69,13,8,1440.24,"319,57",199499.58,fecha_formato_invalido
173,,1935,13,14,2,,"116,08",128228.92,fecha_formato_invalido
174,,9,63,12,10,,70.76,11842.93,fecha_formato_invalido
175,,2362,59,6,5,38630.0,78.61,68440.5,fecha_formato_invalido
176,,2956,62,5,9,-1365.65,"333,57",149134.25,fecha_formato_invalido
177,,355,72,14,1,1123.67,,56.04807,fecha_formato_invalido
178,,833,71,4,10,1310.85,160.19,41123.88,fecha_formato_invalido
179,,2432,3,8,1,,240.54,260639.14,fecha_formato_invalido
180,,2894,5,10,9,507.43,,64.39094,fecha_formato_invalido
181,,1945,37,11,5,, 210.72 ,,"monto_asegurado_error,fecha_formato_invalido"
182,,1953,74,6,1,1725.25,,94698.24,fecha_formato_invalido
183,,513,50,11,5,72336.0,174.04,62801.44,fecha_formato_invalido
184,,1373,12,7,9,,128.95,49518.48,fecha_formato_invalido
186,,2129,30,8,3,1795.66, 388.90 ,298913.7,fecha_formato_invalido
187,,2226,75,5,3,1327.21,-,240624.13,fecha_formato_invalido
188,,1151,47,7,11,,"102,66",130925.71,fecha_formato_invalido
189,,1725,74,11,7,1103.69,"252,45",151711.76,fecha_formato_invalido
192,,1525,3,4,3,234.48,"35,63",36663.52,fecha_formato_invalido
193,,1786,56,15,12,1.31623,-,,"monto_asegurado_error,fecha_formato_invalido"
194,,583,72,10,6,1462.11,"99,14",221.55114,fecha_formato_invalido
195,,1641,31,15,11,911.44,-,129.24182,fecha_formato_invalido
196,,1172,54,6,7,1568.46,283.24,87378.2,fecha_formato_invalido
197,,1558,49,4,11,1.49866,,228.46992,fecha_formato_invalido
198,,876,77,2,7,1351.69,68.96,50400.3,fecha_formato_invalido
199,,1268,39,15,8,1558.42, 251.72 ,191348.34,fecha_formato_invalido
201,,2011,32,12,5,,"209,81",147542.55,fecha_formato_invalido
202,,2346,4,11,6,,-,159867.32,fecha_formato_invalido
203,,1121,32,14,5,741.78,127.03,,"monto_asegurado_error,fecha_formato_invalido"
205,,419,46,7,1,1653.96,249.55,51.98328,fecha_formato_invalido
206,,241,28,8,7,556.14,"58,53",54199.33,fecha_formato_invalido
207,,974,74,14,11,839.87,"94,57",69882.74,fecha_formato_invalido
208,,3614,78,4,4,472.52,36.01,,"monto_asegurado_error,fecha_formato_invalido"
209,2026-02-07,1974,25,13,9,72.55,"18,01",,monto_asegurado_error
210,,2680,12,10,5,,,,"monto_asegurado_error,fecha_formato_invalido"
211,,1795,11,9,7,,"237,61",171128.94,fecha_formato_invalido
212,,2876,13,10,7,213.27,,12711.02,fecha_formato_invalido
213,,214,28,8,11,192.43,45.37,21029.68,fecha_formato_invalido
214,,743,54,13,12,306.05,17.31,18766.83,fecha_formato_invalido
216,,1330,46,10,12,,-,,"monto_asegurado_error,fecha_formato_invalido"
217,,432,3,15,10,1422.59,251.31,174594.04,fecha_formato_invalido
218,,3630,1,9,2,,88.01,,"monto_asegurado_error,fecha_formato_invalido"
219,,1052,5,13,9,, 176.78 ,205287.05,fecha_formato_invalido
220,,1871,34,6,7,,144.19,127.81741,fecha_formato_invalido
222,,1600,78,2,10,1622.52,"144,49",60407.59,fecha_formato_invalido
223,,1312,75,15,1,312.76,,44896.28,fecha_formato_invalido
224,,777,40,10,9,298.58, 63.17 ,27.47047,fecha_formato_invalido
225,,645,64,12,8,1.65196,180.18,80.0617,fecha_formato_invalido
226,,832,44,3,6,1664.22,213.11,43423.44,fecha_formato_invalido
227,,232,44,13,3,66.1,8.06,10.03313,fecha_formato_invalido
228,,2555,30,5,11,341.36,395.85,51.41163,fecha_formato_invalido
